representation,auc_w,ap_w,auc_raw,best_f1,at_threshold,precision,recall_in_pool,est_true_pairs,pairs_retrieved,ap_w_lo,ap_w_hi
tfidf_syl12_hl_body1200,0.944757174391216,0.8644927630938986,0.8127586206896551,0.8188694745803619,0.21891125435017267,0.6953886161989197,0.9956719470794569,30210.268333333333,43443.72,0.7375981267522981,0.950030517207537
tfidf_char35_hl_body1200,0.904369640079004,0.8293138101181512,0.8112643678160919,0.7743810719629225,0.5356595869428459,0.9516136393882424,0.6528006966016334,19807.009999999995,20814.129999999997,0.6681403025112945,0.9513613550131802
jaccard_syl5_body3000,0.8269005278980125,0.7469140672514982,0.7713793103448277,0.7052233491711729,0.009345794392523364,0.6538253578053301,0.7653917041148086,23223.199999999997,35518.965,0.5270652010460736,0.9260963669071938
tfidf_char35_hl_only,0.7610099545119541,0.7303965730860689,0.8045977011494253,0.6579192147058136,0.5275126132897183,0.8051262605762459,0.5562212657181812,16876.636666666665,20961.478333333333,0.4751823896306364,0.9173648791488784
emb_hl_only,0.7327852702611221,0.7128507339322255,0.7929885057471264,0.6706891345131951,0.7746729850769043,0.8081274646163951,0.5732042263443361,17391.926666666666,21521.266666666663,0.455324233084401,0.8986930384820535
jaccard_syl8_body3000,0.8071874297802231,0.7090631015448909,0.755632183908046,0.6944746782825995,0.02536997885835095,0.8308713145651614,0.5965452368923995,18100.129999999997,21784.516666666663,0.4852680943249395,0.9049152957602504
emb_hl_body200,0.7331357537553556,0.6385264114020792,0.7647126436781609,0.7310468231248471,0.7971562743186951,0.7733111461614064,0.6931628991297039,21031.663333333334,27196.896666666667,0.4869878156629274,0.828945243722818
emb_hl_body600,0.6867554994020916,0.5807910976002865,0.7649425287356321,0.5645621494092362,0.8392257690429688,0.7094719253837425,0.46880802164114344,14224.38,20049.25,0.5075201200662502,0.7774922301985094
