pair_id,label,weight,band_lo,band_hi,cross_outlet,emb_hl_body600,emb_hl_body200,emb_hl_only,tfidf_char35_hl_body1200,tfidf_char35_hl_only,tfidf_syl12_hl_body1200,jaccard_syl8_body3000,jaccard_syl5_body3000
67010146_671618aa,1,52.56666666666667,0.92,0.94,1,0.9327844381332397,0.9510202407836914,0.8759537935256958,0.6545696023357985,0.613754727734331,0.40580594319236346,0.002540220152413209,0.010282776349614395
a38f02c0_ac42a20e,0,131.32,0.88,0.9,1,0.8970738649368286,0.8952449560165405,0.8303577899932861,0.4484932689816558,0.30935937344463205,0.2200887604191921,0.0,0.003000750187546887
41b0ca45_db3ad31b,0,330.5,0.85,0.88,1,0.8543415665626526,0.8501198291778564,0.6943340301513672,0.3717983106617432,0.3602887704702697,0.3525455552474606,0.0,0.012919896640826873
ceeb9175_c8da30f6,1,20.76,0.96,0.98,1,0.9686992168426514,0.9558244347572327,0.9749068021774292,0.7228735198842413,0.8529902549642792,0.6992262190592682,0.13030746705710103,0.21775544388609716
3cb8943f_2252d5da,0,52.56666666666667,0.92,0.94,1,0.9310228824615479,0.8579081296920776,0.722329318523407,0.41556240778658926,0.39147108065572234,0.36720180563796323,0.02796420581655481,0.03391812865497076
a5622161_cdfb80eb,0,330.5,0.85,0.88,1,0.8592038750648499,0.7399830222129822,0.6516940593719482,0.27746348582564817,0.15365146423537887,0.18740722629272863,0.0,0.0029585798816568047
7fd64b10_1c83c8a4,1,31.933333333333334,0.94,0.96,1,0.95284104347229,0.9336804151535034,0.9315912127494812,0.7088687625195514,0.8986370800655507,0.5310662372602655,0.02635542168674699,0.06511254019292605
728601b2_a92990d7,1,52.56666666666667,0.92,0.94,1,0.9290345907211304,0.8808267116546631,0.9120891094207764,0.8698771475670132,0.8889037200694526,0.9000137117133928,0.6403622250970246,0.753934191702432
5e609c91_a78b77d1,1,20.76,0.96,0.98,0,0.9733150601387024,0.9388325810432434,0.8475491404533386,0.9923346013432548,0.8505485788338095,0.9918597840573669,0.9859154929577465,0.986013986013986
a072e13d_300563a6,1,52.56666666666667,0.92,0.94,1,0.9328905344009399,0.8451714515686035,0.7549201846122742,0.5786799307613123,0.17879197210856485,0.2899075180911141,0.007518796992481203,0.018867924528301886
4cb12edf_4d6599d7,1,21.96,0.98,1.01,0,0.9930623769760132,0.9902292490005493,0.8371690511703491,0.9992947807034872,0.8624824434080012,0.9920928875680961,0.9704016913319239,0.9746300211416491
80810b8e_d84acb59,1,31.933333333333334,0.94,0.96,1,0.9570099115371704,0.9159427881240845,0.4908694922924042,0.8592358738854617,0.15566255118988584,0.7970014128162769,0.3323201621073962,0.4155701754385965
4fe5d240_8d278dcd,1,21.96,0.98,1.01,1,0.9958431124687195,0.9931325316429138,0.9532208442687988,0.964196961362342,0.9390961082259353,0.97677948687275,0.5165945165945166,0.5563798219584569
870372f5_1aa2c028,0,5641.375,0.7,0.75,1,0.7064412832260132,0.6197078227996826,0.5166794061660767,0.2603067755884316,0.14159585641903846,0.160354448268638,0.0,0.0011806375442739079
538cfc2a_fa289399,1,92.8,0.9,0.92,1,0.9008104801177979,0.7925609350204468,0.7868022322654724,0.7053789480725937,0.44537316453780007,0.5999415338299356,0.06454816285998013,0.09528907922912205
bc65d28e_66ad39da,1,31.933333333333334,0.94,0.96,1,0.9498673677444458,0.9177720546722412,0.9662580490112305,0.7015252840060452,0.5182474724466327,0.5867377811785568,0.11728931364031277,0.15489130434782608
a6c5f79c_529eb1ba,1,92.8,0.9,0.92,1,0.915922999382019,0.8645276427268982,0.8497095108032227,0.7634406135758152,0.6297075440462021,0.6858778404127862,0.06230200633579725,0.12844036697247707
b90a606f_4c41b4f1,1,330.5,0.85,0.88,1,0.860061526298523,0.7971562743186951,0.7917451858520508,0.8348440311130707,0.5168462941101064,0.592377230251687,0.06545454545454546,0.1400198609731877
5e1d1c74_219c1f89,1,92.8,0.9,0.92,1,0.9184556603431702,0.9078775644302368,0.8036129474639893,0.5926156720205544,0.7878846273021667,0.47470427810214294,0.05470249520153551,0.07739307535641547
91f31e13_54c64444,0,3423.375,0.75,0.8,1,0.7832499146461487,0.6061269044876099,0.05451875180006027,0.3935728033728242,0.11713658828238525,0.21202353411117578,0.0,0.00234192037470726
571fbda6_3606762a,1,330.5,0.85,0.88,1,0.8716160655021667,0.8550055027008057,0.6701608300209045,0.5177555625654663,0.38700998825072186,0.3718933921297257,0.010752688172043012,0.030364372469635626
47f44423_70e59bd3,1,20.76,0.96,0.98,1,0.9611010551452637,0.9442691802978516,0.9446112513542175,0.8272152718326355,0.6838838945758856,0.7431218139877643,0.11670480549199085,0.20625
